cva,address,city,state,zip,active
2,406 Sumner,Akron,OH,44304,Inactive
3,433 Grant,Akron,OH,44311,Active
4,30 Severance Circle,Cleveland,OH,44118,Inactive
5,2541 Overlook,Cleveland Heights,OH,44106,Active
6,750 Prospect,Cleveland,OH,44115,Inactive
7,250 River Street,Kent,OH,44240,Active
8,24801 Lakeshore Boulevard,Euclid,OH,44123,Active
9,24799 Lakeshore Boulevard,Euclid,OH,44123,Active
10,11607 Euclid,Cleveland,OH,44106,Active
12,1415 Riverside,Lakewood,OH,04417,Active
13,13337 Madison,Lakewood,OH,44236,Active
14,14301 Madison,Lakewood,OH,44107,Active
16,14174 SuperiorSuperior Apartments,Cleveland,OH,44118,Active
17,1722 GLENMONTRIDGEFIELD MANAGEMENT,CLEVELAND HEIGHTS,OH,44118,Active
18,1 CEDAR POINT DRIVE,SANDUSKY,OH,44857,Active
19,1600 CEDAR POINT,SANDUSKY,OH,44857,Active
20,10129 SOUTH LAKE BOULEVARD,PARMA,OH,44130,Active
21,1200 Vineyards,Broadview Hts,OH,44147,Active
22,1801 East 12th Street,Cleveland,OH,44114,Active
23,3343 Columbia Woods,Norton,OH,44203,Active
24,1938 LEE Road,Cleveland,OH,44118,Active
25,1745 West 25th,Cleveland,OH,44113,Active
26,2501 East 59,Cleveland,OH,44104,Active
27,16700 16800 Lakeshore,Cleveland,OH,44110,Active
28,2749 Euclid Hts,Cleveland,OH,44106,Active
29,9640 FERNWOOD DRIVE,NORTH OLMSTED,OH,44138,Active
31,834 East Midlothian,Youngstown,OH,44502,Active
32,13800 Shaker,Cleveland,OH,44120,Active
33,7711 Normandie,Middleburg Hts,OH,44130,Active
34,55 Fir Hill,Akron,OH,44304,Active
35,77 Fir Hill,Akron,OH,44304,Active
36,2315 Seville Ave,Columbus,OH,43232,Active
37,3652-74 Kent rd,Stow,OH,44224,Active
38,2450 OVERLOOK RD,CLEVELAND,OH,44106,Active
39,9823 LAKE AVE,CLEVELAND,OH,44102,Inactive
40,14380 N. Cheshire,Bruton,OH,44041,Active
41,4779 Columbia Rd,North Olmsted,OH,44070,Active
42,1331 Trinity Place,Dayton,OH,45042,Active
43,4592 CHANNING TERRACE,Columbus,OH,43232,Inactive
44,4225 EAST BROAD,COLUMBUS,OH,43213,Active
45,4229 E. BROAD,COLUMBUS,OH,43213,Active
46,4215 EAST BROAD,COLUMBUS,OH,43215,Active
47,4235 EAST BROAD,COLUMBUS,OH,43215,Active
48,2830 VAN AKEN,CLEVELAND,OH,44120,Active
49,3119 Navarre Ave,Oregon,OH,43616,Active
50,30 Severance Circle,Cleveland Hts,OH,44118,Active
51,340 ST CLAIR,COLUMBUS,OH,43215,Active
52,470 McKINLEY,DELAWARE,OH,43015,Active
53,21861 LIBBY RD,BEDFORD,OH,44146,Active
54,Chimney Hills Apartments967 Park Lane,Middletown,OH,45042,Active
55,1400 HICKMAN RD,XENIA,OH,45385,Active
119,4721 Cornell Rd,Blue Ash,OH,45241,Active
126,5779 Southwinds Dr,Mentor,OH,44060,Active
145,2645 Travis,Columbus,OH,43209,Active
173,812 Delaware St,Washington Courthouse,OH,43160,Active
199,70 N Raccoon Rd,Youngstown,OH,44515,Active
200,478 Raccoon,Youngstown,OH,44515,Active
201,1837 S Raccoon Rd,Youngstown,OH,44515,Active
202,4222 New Rd,Youngstown,OH,44515,Active
203,4415 Deercreek,Youngstown,OH,44515,Active
204,216 MOORE RD,AVON,OH,44011,Active
206,412 S. 13th ST,INDIANA,PA,15701,Active
207,125 17th St NW,Canton,OH,44703,Active
208,2027 Cleveland Rd,Sandusky,OH,44870,Active
209,214 NAPOLEON RD,BOWLING GREEN,OH,43402,Active
211,1895 Beachwood Ave NE,N Canton,OH,44720,Active
1104,5507 MESA RIDGE LANE,COLUMBUS,OH,43231,Active
